"time","temperature","humidity","dewpoint"
2018-07-13 15:00:00,30,44.5,16.5
2018-07-13 15:10:00,30,46.5,17.2
2018-07-13 15:20:00,30.5,46.5,17.7
2018-07-13 15:30:00,30.5,45.5,17.3
2018-07-13 15:40:00,31,42.5,16.7
2018-07-13 15:50:00,31,42,16.5
2018-07-13 16:00:00,31,43,16.9
2018-07-13 16:10:00,31.5,43,17.4
2018-07-13 16:20:00,31.5,40.5,16.4
2018-07-13 16:30:00,32,41.5,17.2
2018-07-13 16:40:00,32.5,39,16.7
2018-07-13 16:50:00,31.5,39,15.8
2018-07-13 17:00:00,32.5,38.5,16.5
2018-07-13 17:10:00,32.5,37,15.9
2018-07-13 17:20:00,32.5,38,16.3
2018-07-13 17:30:00,33,37,16.3
2018-07-13 17:40:00,32.5,37,15.9
2018-07-13 17:50:00,33,37.5,16.5
2018-07-13 18:00:00,32.5,37,15.9
2018-07-13 18:10:00,31,38.5,15.2
2018-07-13 18:20:00,27.5,45,14.5
2018-07-13 18:30:00,25.5,49.5,14.1
2018-07-13 18:40:00,24.5,48,12.7
2018-07-13 18:50:00,24,47.5,12.1
2018-07-13 19:00:00,24,45.5,11.5
2018-07-13 19:10:00,24.5,47,12.4
2018-07-13 19:20:00,25,48,13.2
2018-07-13 19:30:00,25,49,13.5
2018-07-13 19:40:00,24.5,51,13.7
2018-07-13 19:50:00,24,48.5,12.4
2018-07-13 20:00:00,23.5,48.5,12
2018-07-13 20:10:00,23,50.5,12.1
2018-07-13 20:20:00,22.5,53.5,12.5
2018-07-13 20:30:00,22,56,12.8
2018-07-13 20:40:00,21,58.5,12.5
2018-07-13 20:50:00,21,63.5,13.8
2018-07-13 21:00:00,20.5,66,13.9
2018-07-13 21:10:00,20,67.5,13.8
2018-07-13 21:20:00,19.5,69,13.6
2018-07-13 21:30:00,19.5,70.5,13.9
2018-07-13 21:40:00,19,69.5,13.2
2018-07-13 21:50:00,19,67.5,12.8
2018-07-13 22:00:00,19.5,66.5,13
2018-07-13 22:10:00,19.5,68,13.4
2018-07-13 22:20:00,19.5,69,13.6
2018-07-13 22:30:00,19.5,69.5,13.7
2018-07-13 22:40:00,19.5,69.5,13.7
2018-07-13 22:50:00,19.5,71.5,14.2
2018-07-13 23:00:00,19,73.5,14.1
2018-07-13 23:10:00,18.5,74.5,13.8
2018-07-13 23:20:00,18.5,77,14.3
2018-07-13 23:30:00,18,78.5,14.2
2018-07-13 23:40:00,17.5,80,14
2018-07-13 23:50:00,17.5,80.5,14.1
2018-07-14 00:00:00,17.5,78,13.6
2018-07-14 00:10:00,18,76,13.7
2018-07-14 00:20:00,18.5,75,13.9
2018-07-14 00:30:00,18.5,73.5,13.6
2018-07-14 00:40:00,19,72.5,13.9
2018-07-14 00:50:00,19,72,13.8
2018-07-14 01:00:00,19,72.5,13.9
2018-07-14 01:10:00,18.5,72.5,13.4
2018-07-14 01:20:00,18.5,72.5,13.4
2018-07-14 01:30:00,18.5,73.5,13.6
2018-07-14 01:40:00,18,74.5,13.4
2018-07-14 01:50:00,18,76,13.7
2018-07-14 02:00:00,17.5,76.5,13.3
2018-07-14 02:10:00,17.5,77.5,13.5
2018-07-14 02:20:00,17.5,78,13.6
2018-07-14 02:30:00,17.5,78.5,13.7
2018-07-14 02:40:00,17.5,79,13.8
2018-07-14 02:50:00,17,79.5,13.4
2018-07-14 03:00:00,17,80,13.5
2018-07-14 03:10:00,17.5,80,14
2018-07-14 03:20:00,17,80.5,13.6
2018-07-14 03:30:00,17,81,13.7
2018-07-14 03:40:00,17.5,80,14
2018-07-14 03:50:00,17.5,80,14
2018-07-14 04:00:00,17,80,13.5
2018-07-14 04:10:00,17,80.5,13.6
2018-07-14 04:20:00,17,80.5,13.6
2018-07-14 04:30:00,17,81.5,13.8
2018-07-14 04:40:00,16.5,82,13.4
2018-07-14 04:50:00,16.5,82.5,13.5
2018-07-14 05:00:00,16.5,83,13.6
2018-07-14 05:10:00,16,83.5,13.2
2018-07-14 05:20:00,16,83.5,13.2
2018-07-14 05:30:00,16,84.5,13.3
2018-07-14 05:40:00,16,84.5,13.3
2018-07-14 05:50:00,16,84.5,13.3
2018-07-14 06:00:00,15.5,84.5,12.9
2018-07-14 06:10:00,15.5,84.5,12.9
2018-07-14 06:20:00,15.5,84.5,12.9
2018-07-14 06:30:00,15.5,84.5,12.9
2018-07-14 06:40:00,15.5,84.5,12.9
2018-07-14 06:50:00,16,84.5,13.3
2018-07-14 07:00:00,16.5,82,13.4
2018-07-14 07:10:00,16.5,81.5,13.3
2018-07-14 07:20:00,17,80,13.5
2018-07-14 07:30:00,17.5,78,13.6
2018-07-14 07:40:00,19,74,14.2
2018-07-14 07:50:00,19,71.5,13.7
2018-07-14 08:00:00,21,67,14.6
2018-07-14 08:10:00,22,62.5,14.5
2018-07-14 08:20:00,23,60,14.8
2018-07-14 08:30:00,23.5,59.5,15.1
2018-07-14 08:40:00,23,59,14.5
2018-07-14 08:50:00,22.5,62,14.8
2018-07-14 09:00:00,22,61.5,14.2
2018-07-14 09:10:00,23.5,59,15
2018-07-14 09:20:00,24.5,56.5,15.2
2018-07-14 09:30:00,25,54.5,15.1
